iter	Passed	Remaining
190	1013	4293
191	1015	4271
192	1016	4249
193	1017	4227
194	1018	4205
195	1020	4184
196	1022	4167
197	1028	4164
198	1029	4145
199	1031	4126
200	1033	4106
201	1034	4086
202	1035	4065
203	1036	4045
204	1041	4039
205	1043	4022
206	1044	4003
207	1046	3983
208	1047	3964
209	1048	3945
210	1050	3926
211	1051	3907
212	1052	3888
213	1058	3887
214	1060	3871
215	1061	3852
216	1062	3834
217	1064	3816
218	1065	3798
219	1066	3781
220	1067	3763
221	1070	3750
222	1072	3735
223	1073	3719
224	1075	3705
225	1077	3688
226	1078	3671
227	1079	3655
228	1084	3650
229	1085	3634
230	1086	3618
231	1088	3601
232	1089	3585
233	1090	3570
234	1091	3554
235	1093	3538
236	1099	3541
237	1101	3526
238	1102	3511
239	1104	3496
240	1105	3480
241	1106	3465
242	1108	3452
243	1109	3438
244	1114	3433
245	1115	3419
246	1116	3404
247	1118	3390
248	1119	3375
249	1120	3361
250	1121	3347
251	1128	3349
252	1130	3336
253	1131	3323
254	1132	3309
255	1134	3295
256	1135	3282
257	1137	3271
258	1138	3257
259	1139	3244
260	1143	3237
261	1144	3224
262	1146	3211
263	1147	3198
264	1148	3185
265	1149	3172
266	1151	3159
267	1152	3147
268	1158	3148
269	1159	3136
270	1161	3123
271	1162	3111
272	1164	3099
273	1165	3087
274	1166	3075
275	1167	3063
276	1173	3061
277	1175	3052
278	1177	3042
279	1179	3032
280	1181	3022
281	1189	3029
282	1191	3019
283	1193	3009
284	1194	2997
285	1196	2986
286	1197	2974
287	1203	2974
288	1204	2962
289	1205	2951
290	1206	2940
291	1208	2929
292	1209	2918
293	1210	2907
294	1211	2896
295	1216	2893
296	1218	2884
297	1221	2876
298	1223	2868
299	1224	2857
300	1225	2846
301	1227	2836
302	1232	2834
303	1233	2825
304	1235	2815
305	1237	2806
306	1238	2796
307	1240	2786
308	1241	2775
309	1242	2765
310	1244	2758
311	1246	2748
312	1247	2738
313	1248	2728
314	1249	2718
315	1251	2708
316	1252	2698
317	1253	2688
318	1255	2679
319	1258	2674
320	1260	2665
321	1261	2656
322	1262	2646
323	1263	2637
324	1265	2627
325	1266	2618
326	1267	2609
327	1268	2599
328	1270	2590
329	1272	2582
330	1273	2573
331	1274	2564
332	1275	2555
333	1277	2546
334	1278	2537
335	1279	2528
336	1280	2519
337	1282	2510
338	1283	2502
339	1286	2496
340	1287	2488
341	1288	2479
342	1290	2471
343	1291	2462
344	1292	2454
345	1293	2445
346	1295	2437
347	1296	2428
348	1297	2420
349	1300	2414
350	1301	2406
351	1302	2398
352	1304	2390
353	1305	2382
354	1306	2374
355	1307	2365
356	1309	2357
357	1310	2349
358	1314	2347
359	1316	2340
360	1320	2337
361	1322	2330
362	1323	2322
363	1324	2314
364	1325	2306
365	1327	2300
366	1329	2293
367	1330	2285
368	1332	2278
369	1333	2270
370	1334	2262
371	1335	2255
372	1337	2247
373	1338	2240
374	1340	2234
375	1341	2227
376	1343	2219
377	1344	2213
378	1346	2205
379	1347	2198
380	1348	2190
381	1349	2183
382	1351	2176
383	1352	2169
384	1355	2165
385	1356	2157
386	1357	2150
387	1359	2144
388	1360	2137
389	1361	2130
390	1363	2123
391	1364	2116
392	1365	2109
393	1367	2103
394	1370	2098
395	1371	2091
396	1372	2085
397	1374	2078
398	1375	2071
399	1376	2064
400	1377	2058
401	1379	2051
402	1381	2046
403	1383	2040
404	1384	2033
405	1385	2027
406	1386	2020
407	1388	2014
408	1389	2008
409	1390	2001
410	1392	1995
411	1393	1988
412	1396	1985
413	1398	1980
414	1400	1974
415	1402	1968
416	1403	1962
417	1404	1956
418	1406	1949
419	1407	1943
420	1410	1939
421	1412	1934
422	1413	1928
423	1415	1923
424	1417	1918
425	1419	1913
426	1421	1907
427	1424	1904
428	1426	1898
429	1428	1893
430	1429	1887
431	1430	1881
432	1432	1875
433	1433	1869
434	1435	1863
435	1437	1859
436	1438	1853
437	1439	1847
438	1440	1841
439	1442	1835
440	1443	1829
441	1444	1823
442	1445	1818
443	1447	1812
444	1448	1806
445	1457	1809
446	1459	1805
447	1460	1799
448	1461	1793
449	1463	1788
450	1465	1783
451	1466	1778
452	1468	1772
453	1469	1767
454	1470	1761
455	1471	1755
456	1473	1750
457	1474	1744
458	1475	1739
459	1477	1734
460	1479	1729
461	1480	1723
462	1481	1718
463	1482	1712
464	1484	1707
465	1485	1702
466	1486	1696
467	1488	1691
468	1489	1686
469	1490	1680
470	1493	1677
471	1494	1672
472	1496	1667
473	1497	1661
474	1498	1656
475	1499	1651
476	1501	1646
477	1502	1640
478	1503	1635
479	1504	1630
480	1508	1627
481	1509	1622
482	1510	1617
483	1512	1612
484	1513	1607
485	1514	1601
486	1515	1596
487	1517	1591
488	1518	1586
489	1520	1582
490	1522	1577
491	1523	1572
492	1524	1567
493	1525	1562
494	1527	1558
495	1528	1553
496	1529	1548
497	1531	1543
498	1532	1538
499	1535	1535
500	1537	1530
501	1538	1525
502	1539	1521
503	1540	1516
504	1542	1511
505	1543	1506
506	1544	1501
507	1545	1497
508	1548	1493
509	1551	1490
510	1554	1487
511	1557	1484
512	1560	1481
513	1562	1477
514	1564	1473
515	1565	1468
516	1567	1464
517	1568	1459
518	1569	1454
519	1570	1450
520	1573	1446
521	1574	1441
522	1575	1437
523	1577	1433
524	1578	1428
525	1580	1423
526	1581	1419
527	1582	1414
528	1583	1410
529	1585	1405
530	1587	1401
531	1588	1397
532	1589	1392
533	1591	1388
534	1592	1384
535	1593	1379
536	1595	1375
537	1596	1370
538	1597	1366
539	1608	1370
540	1610	1366
541	1612	1362
542	1613	1357
543	1614	1353
544	1616	1349
545	1617	1344
546	1619	1341
547	1621	1337
548	1623	1333
549	1624	1329
550	1625	1324
551	1627	1320
552	1628	1316
553	1629	1311
554	1630	1307
555	1632	1303
556	1633	1299
557	1634	1294
558	1640	1294
559	1642	1290
560	1643	1286
561	1645	1282
562	1647	1278
563	1648	1274
564	1651	1271
565	1653	1267
566	1655	1264
567	1657	1260
568	1658	1256
569	1660	1252
570	1661	1248
571	1663	1244
572	1665	1241
573	1667	1237
574	1669	1233
575	1670	1229
576	1671	1225
577	1672	1221
578	1674	1217
579	1675	1213
580	1676	1209
581	1682	1208
582	1683	1204
583	1684	1200
584	1686	1196
585	1687	1192
586	1688	1188
587	1689	1184
588	1692	1180
589	1698	1180
590	1700	1176
591	1702	1173
592	1703	1169
593	1707	1166
594	1709	1163
595	1710	1159
596	1712	1155
597	1713	1151
598	1714	1147
599	1715	1143
600	1717	1139
601	1718	1136
602	1720	1132
603	1722	1129
604	1723	1125
605	1724	1121
606	1726	1117
607	1727	1113
608	1728	1110
609	1730	1106
610	1731	1102
611	1732	1098
612	1737	1097
613	1739	1093
614	1740	1089
615	1742	1086
616	1743	1082
617	1744	1078
618	1745	1074
619	1748	1071
620	1749	1067
621	1751	1064
622	1752	1060
623	1753	1056
624	1754	1052
625	1756	1049
626	1757	1045
627	1758	1041
628	1759	1037
629	1765	1036
630	1766	1033
631	1767	1029
632	1769	1025
633	1770	1022
634	1772	1018
635	1773	1014
636	1774	1011
637	1776	1008
638	1779	1005
639	1780	1001
640	1781	997
641	1782	994
642	1784	990
643	1785	987
644	1786	983
645	1788	979
646	1790	976
647	1792	973
648	1793	969
649	1794	966
650	1796	962
651	1797	959
652	1798	955
653	1800	952
654	1801	948
655	1804	946
656	1806	943
657	1807	939
658	1809	936
659	1810	932
660	1811	929
661	1812	925
662	1814	922
663	1815	918
664	1820	916
665	1821	913
666	1823	910
667	1824	906
668	1825	903
669	1826	899
670	1828	896
671	1829	893
672	1832	890
673	1834	887
674	1835	883
675	1836	880
676	1837	876
677	1839	873
678	1840	870
679	1841	866
680	1842	863
681	1845	860
682	1846	857
683	1847	853
684	1849	850
685	1850	846
686	1851	843
687	1852	840
688	1854	836
689	1855	833
690	1856	830
691	1859	827
692	1861	824
693	1862	821
694	1863	817
695	1864	814
696	1866	811
697	1867	807
698	1868	804
699	1869	801
700	1871	798
701	1874	795
702	1875	792
703	1876	789
704	1878	785
705	1878	782
706	1880	779
707	1881	775
708	1882	772
709	1883	769
710	1886	766
711	1887	763
712	1889	760
713	1890	757
714	1891	754
715	1892	750
716	1894	747
717	1895	744
718	1896	741
719	1897	738
720	1899	735
721	1901	732
722	1903	729
723	1904	725
724	1905	722
725	1906	719
726	1908	716
727	1909	713
728	1910	710
729	1912	707
730	1914	704
731	1917	701
732	1919	699
733	1920	695
734	1921	692
735	1923	689
736	1924	686
737	1927	684
738	1930	681
739	1932	679
740	1934	676
741	1936	673
742	1938	670
743	1943	668
744	1945	665
745	1947	663
746	1949	660
747	1950	657
748	1952	654
749	1955	651
750	1957	649
751	1960	646
752	1961	643
753	1963	640
754	1964	637
755	1965	634
756	1966	631
757	1968	628
758	1970	625
759	1971	622
760	1973	619
761	1974	616
762	1975	613
763	1977	610
764	1978	607
765	1979	604
766	1980	601
767	1983	599
768	1984	596
769	1986	593
770	1987	590
771	1988	587
772	1989	584
773	1991	581
774	1992	578
775	1993	575
776	1995	572
777	2012	574
778	2014	571
779	2015	568
780	2017	565
781	2018	562
782	2019	559
783	2022	557
784	2023	554
785	2025	551
786	2027	548
787	2028	545
788	2029	542
789	2031	539
790	2032	536
791	2033	534
792	2034	531
793	2036	528
794	2037	525
795	2039	522
796	2041	519
797	2042	517
798	2043	514
799	2045	511
800	2046	508
801	2047	505
802	2048	502
803	2050	499
804	2051	496
805	2053	494
806	2058	492
807	2060	489
808	2061	486
809	2063	483
810	2064	481
811	2069	479
812	2070	476
813	2071	473
814	2073	470
815	2074	467
816	2075	464
817	2076	462
818	2077	459
819	2079	456
820	2082	453
821	2085	451
822	2086	448
823	2088	446
824	2089	443
825	2090	440
826	2092	437
827	2093	434
828	2098	432
829	2100	430
830	2101	427
831	2103	424
832	2104	421
833	2105	419
834	2106	416
835	2108	413
836	2111	411
837	2112	408
838	2113	405
839	2115	402
840	2116	400
841	2117	397
842	2118	394
843	2120	391
844	2121	389
845	2123	386
846	2125	384
847	2127	381
848	2128	378
849	2129	375
850	2130	373
851	2132	370
852	2133	367
853	2134	364
854	2135	362
855	2138	359
856	2140	357
857	2141	354
858	2142	351
859	2144	349
860	2145	346
861	2146	343
862	2147	340
863	2149	338
864	2152	335
865	2155	333
866	2156	330
867	2157	328
868	2159	325
869	2160	322
870	2161	320
871	2162	317
872	2166	315
873	2167	312
874	2169	309
875	2170	307
876	2171	304
877	2173	301
878	2174	299
879	2175	296
880	2176	294
881	2179	291
882	2181	289
883	2182	286
884	2183	283
885	2185	281
886	2186	278
887	2187	275
888	2188	273
889	2190	270
890	2192	268
891	2194	265
892	2196	263
893	2197	260
894	2199	257
895	2200	255
896	2201	252
897	2202	250
898	2204	247
899	2208	245
900	2209	242
901	2210	240
902	2211	237
903	2213	235
904	2214	232
905	2215	229
906	2217	227
907	2220	224
908	2222	222
909	2223	219
910	2224	217
911	2225	214
912	2227	212
913	2228	209
914	2230	207
915	2231	204
916	2233	202
917	2234	199
918	2236	197
919	2237	194
920	2238	192
921	2239	189
922	2241	186
923	2242	184
924	2243	181
925	2245	179
926	2247	176
927	2249	174
928	2250	171
929	2251	169
930	2252	166
931	2254	164
932	2255	161
933	2256	159
934	2257	156
935	2259	154
936	2261	152
937	2263	149
938	2264	147
939	2265	144
940	2266	142
941	2268	139
942	2269	137
943	2270	134
944	2272	132
945	2273	129
946	2275	127
947	2277	124
948	2278	122
949	2279	119
950	2280	117
951	2282	115
952	2283	112
953	2284	110
954	2286	107
955	2289	105
956	2290	102
957	2292	100
958	2293	98
959	2294	95
960	2295	93
961	2297	90
962	2298	88
963	2300	85
964	2302	83
965	2303	81
966	2304	78
967	2306	76
968	2307	73
969	2308	71
970	2309	68
971	2311	66
972	2312	64
973	2313	61
974	2319	59
975	2322	57
976	2325	54
977	2328	52
978	2330	49
979	2331	47
980	2332	45
981	2333	42
982	2335	40
983	2336	37
984	2337	35
985	2339	33
986	2340	30
987	2342	28
988	2344	26
989	2346	23
990	2347	21
991	2348	18
992	2349	16
993	2351	14
994	2352	11
995	2353	9
996	2354	7
997	2356	4
998	2358	2
999	2359	0
